id,title,abstract,content,s_content,t_content,img,lasttime,ref,click,share,good,edittime,tag,items,lemmaID,editor_goodVersionCount,editor_commitPassedCount,editor_level,editor_featuredLemmaCount,editor_createPassedCount,editor_commitTotalCount,editor_experience,editor_passRatio,flag
1368,贵州民族大学,349,7071,7,10,16,2018-07-18,43,754395,43,489,182,12,1,4375146,190.48,180787,8.28,184.84,2264.24,207402,44605.2,87.48,1
1392,矢野浩二,291,1738,7,3,30,2018-09-17,30,9022110,71,17476,267,4,1,108877,33.48,679783,4.36,33.44,5738.04,784930,4697.24,78.36,1
1415,穿普拉达的女王,186,3122,9,7,0,2018-07-05,9,5609701,137,7774,144,6,6,3309472,235.8,375012,8.68,196.76,8711.16,405386,515456000,90.44,1
1435,AC米兰足球俱乐部,499,20510,9,18,19,2018-08-24,11,2857927,135,5221,485,4,1,6580300,37.12,180889,7.48,27.44,3100.92,207422,22676.1,93.32,1
1468,湛江,604,21159,15,35,22,2018-09-18,34,5968185,381,5451,919,0,1,110166,26.68,518516,6.28,17.6,7347.04,597607,18002.8,89.4,1
1471,北京大学,635,15153,7,16,13,2018-10-13,128,15289549,897,23147,1295,11,1,110221,96.84,186228,7.8,69.44,2749.16,212921,37865.6,92.72,1
1477,金刚鹦鹉,304,2187,9,3,1,2018-06-20,7,1472198,191,1998,83,1,1,110338,1553.12,412996,5.28,473.84,7732.08,467054,171907000,78.88,1
1480,水母,370,9736,11,6,4,2018-06-05,5,3265622,1532,9673,239,1,7,1961,2063.92,247572,5.68,625.76,7146.28,275386,171942000,77.88,1
1483,雪鸮,327,6248,8,7,3,2018-06-06,10,445052,112,714,85,2,1,110428,3091,314769,7.72,935.8,11253.3,343946,343813000,89,1
1484,白鳍豚,217,5110,11,6,7,2018-10-13,11,2408131,282,6426,302,2,3,36241,29.8,950294,6.8,24.8,15407.7,1060560,687208000,85.88,1
1489,孛儿只斤·忽必烈,624,9892,7,15,7,2018-08-11,35,4007357,212,2189,202,0,2,8451763,499.4,347236,6.04,134.08,3572.36,400042,35145.2,79.64,1
1490,RT-2PM2弹道导弹,424,10374,5,12,14,2018-08-16,17,166495,5,28,15,1,1,17553364,37.2,283859,6.86667,38.8,2645.67,327781,14021.5,88.2667,1
